                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3421,                 1.0202,                 1.2068,                0.93511,                0.92756,                0.96735,                0.62736,                 1.1749,                0.58546,                 1.1611,              0.0033261,              0.0033261,              0.0033261
                      2,                 1.2924,                0.71645,                 1.1696,                0.84018,                0.74015,                0.83218,                0.49807,                 1.5396,                 1.0306,                  1.403,              0.0066582,              0.0066582,              0.0066582
                      3,                 1.3708,                0.83096,                 1.2264,                 0.8124,                0.83605,                 0.8841,                0.53974,                 1.3596,                0.94089,                 1.3115,              0.0099891,              0.0099891,              0.0099891
                      4,                 1.3791,                0.84289,                 1.2406,                0.75049,                0.69117,                0.77863,                0.47197,                 1.5206,                 1.4603,                 1.4693,              0.0099944,              0.0099944,              0.0099944
                      5,                 1.3169,                0.74265,                 1.2061,                0.84862,                0.82135,                0.89402,                0.54155,                 1.3455,                0.80913,                 1.3179,              0.0099944,              0.0099944,              0.0099944
                      6,                 1.2797,                0.69566,                 1.1869,                0.92929,                0.92446,                0.97063,                 0.6448,                 1.2051,                0.58621,                 1.2072,              0.0099925,              0.0099925,              0.0099925
                      7,                 1.2528,                0.66651,                 1.1743,                0.89019,                0.90537,                0.97229,                0.66245,                   1.16,                0.59115,                 1.1812,              0.0099907,              0.0099907,              0.0099907
                      8,                 1.2361,                0.64812,                 1.1681,                0.95134,                0.93949,                0.98157,                0.67833,                 1.1522,                0.51577,                 1.1743,              0.0099888,              0.0099888,              0.0099888
                      9,                 1.2181,                0.63132,                 1.1599,                 0.9506,                0.94401,                0.98166,                0.69651,                 1.0824,                0.50979,                 1.1398,              0.0099869,              0.0099869,              0.0099869
                     10,                 1.2086,                0.61619,                 1.1527,                0.94449,                0.95414,                0.98089,                0.68374,                 1.1063,                 0.4881,                 1.1533,              0.0099851,              0.0099851,              0.0099851
                     11,                 1.1961,                0.60444,                 1.1491,                0.96636,                0.97055,                0.98898,                0.69632,                 1.1231,                0.45712,                 1.1595,              0.0099832,              0.0099832,              0.0099832
                     12,                 1.1887,                0.59309,                 1.1438,                0.96153,                 0.9672,                0.98843,                0.70295,                 1.0887,                0.45415,                 1.1276,              0.0099813,              0.0099813,              0.0099813
                     13,                 1.1742,                0.58153,                  1.141,                0.97277,                0.96689,                 0.9881,                0.70651,                 1.0885,                0.43846,                 1.1366,              0.0099795,              0.0099795,              0.0099795
                     14,                 1.1707,                0.57884,                 1.1375,                0.97104,                0.97269,                0.98939,                0.71473,                 1.0608,                0.43258,                 1.1227,              0.0099776,              0.0099776,              0.0099776
                     15,                 1.1644,                0.56717,                 1.1344,                0.96948,                0.97693,                0.99004,                0.71734,                 1.0541,                0.42751,                 1.1201,              0.0099757,              0.0099757,              0.0099757
                     16,                 1.1578,                0.56391,                 1.1292,                0.97019,                0.97966,                0.98982,                 0.7256,                 1.0472,                  0.408,                 1.1206,              0.0099738,              0.0099738,              0.0099738
                     17,                 1.1495,                0.55725,                 1.1261,                0.97221,                0.98231,                0.99126,                0.72959,                 1.0367,                0.40614,                 1.1099,               0.009972,               0.009972,               0.009972
                     18,                  1.145,                0.54939,                 1.1238,                0.97724,                 0.9804,                0.99134,                0.72805,                 1.0361,                0.39637,                 1.1049,              0.0099701,              0.0099701,              0.0099701
                     19,                 1.1436,                0.54889,                 1.1193,                  0.978,                 0.9814,                0.99079,                0.73217,                 1.0345,                0.38851,                 1.1028,              0.0099682,              0.0099682,              0.0099682
                     20,                  1.143,                0.54894,                 1.1176,                0.97822,                0.98093,                0.99143,                0.73439,                 1.0225,                0.38072,                 1.0955,              0.0099664,              0.0099664,              0.0099664
                     21,                 1.1354,                0.54046,                 1.1196,                0.97872,                0.98274,                0.99208,                0.73654,                 1.0178,                0.37945,                 1.0945,              0.0099645,              0.0099645,              0.0099645
                     22,                 1.1285,                0.53956,                 1.1123,                0.98039,                0.98466,                0.99176,                0.73512,                 1.0233,                0.37687,                 1.0972,              0.0099626,              0.0099626,              0.0099626
                     23,                 1.1311,                0.53514,                 1.1218,                0.98072,                0.98492,                0.99228,                0.74173,                 1.0086,                0.37001,                 1.0952,              0.0099608,              0.0099608,              0.0099608
                     24,                 1.1261,                0.53224,                 1.1158,                0.98067,                0.98762,                0.99268,                0.74122,                 1.0091,                0.36695,                 1.0899,              0.0099589,              0.0099589,              0.0099589
                     25,                 1.1206,                0.52681,                 1.1134,                0.98195,                0.98554,                0.99278,                0.74385,                 1.0057,                0.36696,                 1.0896,               0.009957,               0.009957,               0.009957
                     26,                 1.1238,                0.53061,                 1.1136,                0.98441,                0.98499,                0.99249,                0.74315,                 1.0036,                0.36416,                 1.0897,              0.0099552,              0.0099552,              0.0099552
                     27,                 1.1154,                0.52585,                 1.1174,                0.98253,                0.98809,                0.99263,                0.74504,                0.99992,                0.35876,                 1.0897,              0.0099533,              0.0099533,              0.0099533
                     28,                 1.1176,                0.52485,                 1.1111,                0.98302,                0.98551,                 0.9924,                0.74515,                 1.0057,                0.36155,                 1.0901,              0.0099514,              0.0099514,              0.0099514
                     29,                 1.1241,                0.52365,                 1.1143,                0.98479,                0.98631,                0.99255,                0.74486,                 1.0069,                0.35883,                 1.0882,              0.0099496,              0.0099496,              0.0099496
                     30,                 1.1133,                0.51683,                 1.1073,                0.98462,                0.98714,                0.99257,                0.74681,                0.99998,                0.35579,                 1.0858,              0.0099477,              0.0099477,              0.0099477
                     31,                 1.1064,                0.51488,                 1.1088,                0.98387,                0.98787,                0.99264,                 0.7494,                0.99604,                0.35473,                 1.0874,              0.0099458,              0.0099458,              0.0099458
